,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
63,Heróis da TV,12,4,Nas mãos do terrível Controlador,Capitão Marvel,Capitão Marvel Rick Jones Controlador Homem de Ferro Jarvis Thanos Lou-Ann Savannah Mordecai Boggs Drax O Destruidor Morte,Captain Marvel,30,1974,Jim Starlin,Jim Starlin,NA
64,Heróis da TV,13,1,A morte de um ninja,"Punho de Ferro
Roteiro:  Tony Isabella Desenho:  Arvell Jones Arte-Final:  Vince Colletta Editor original:  Len Wein
Publicada originalmente em   Marvel Premiere (1972) n° 21/1975 - Marvel Comics
             
Título original: ""Daughters of the death-goddess"".",Punho de Ferro,Marvel Premiere,21,1975,Tony Isabella,Arvell Jones,
65,Heróis da TV,13,2,O mistério revelado,"Punho de Ferro
Roteiro:  Tony Isabella Desenho:  Arvell Jones Arte-Final:  Aubrey Bradford Editor original:  Len Wein
Publicada originalmente em   Marvel Premiere (1972) n° 22/1975 - Marvel Comics
             
Título original: ""Death is a ninja"".",Punho de Ferro,Marvel Premiere,22,1975,Tony Isabella,Arvell Jones,
66,Heróis da TV,13,3,Premonição,Miss Marvel,"Miss Marvel Visão II
Argumento: Archie Goodwin Jim Shooter Roteiro: Chris Claremont Desenho: Jim Mooney Arte-Final: Joe Sinnott Editor original: Archie Goodwin Jim Shooter
Publicada originalmente em  Ms. Marvel (1977) n° 5/1977 - Marvel Comics
       
Título original: ""Bridge of no return"".",Ms. Marvel,5,1977,Chris Claremont,Jim Mooney,
67,Heróis da TV,13,4,Duelo de titãs,Thor,Thor Hulk Vingadores Homem de Ferro Golias Namor O Príncipe Submarino,Journey Into Mystery,112,1965,Stan Lee,Jack Kirby,NA
68,Heróis da TV,13,5,O princípio do fim,Capitão Marvel,Capitão Marvel Vingadores Serpente da Lua Destruidor Homem de Ferro Starfox Mentor Thanos,Captain Marvel,31,1974,Jim Starlin,Jim Starlin,
69,Heróis da TV,14,1,"Mefisto, o senhor do mal / Duelo nas profundezas",Surfista Prateado,Surfista Prateado Mefisto Shalla Bal Yarro Gort,"Silver Surfer, The",3,1968,Stan Lee,John Buscema,1ª aparição do Mefisto.
70,Heróis da TV,14,2,"Thanos, o deus louco",Capitão Marvel,Capitão Marvel Homem de Ferro Mentor Starfox Serpente da Lua Rick Jones Thanos Lou-Ann Savannah Drax O Destruidor Pantera Negra Capitão América Morte Isaac Vingadores Mantis Feiticeira Escarlate Espadachim Thor Visão II,Captain Marvel,32,1974,"Jim Starlin,  Mike Friedrich",Jim Starlin,NA
71,Heróis da TV,14,3,Memórias do passado,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Fu Manchu,Giant-Size Master of Kung Fu,1,1974,"Doug Moench Arte:  P. Craig Russell Cores:  Rita de Carvalho Letrista:  Edison Gasparim Editor original:  Roy Thomas
Publicada originalmente em   Giant-Size Master of Kung Fu (1974) n° 1/1974 - Marvel Comics
             
8 páginas.Título original: ""Frozen past, shattered memories"".",NA,
72,Heróis da TV,14,4,Os anjos do inferno,Motoqueiro Fantasma,"Motoqueiro Fantasma Roxanne Blaze Satã Craig ""Crash"" Simpson Mona Simpson",Marvel Spotlight,6,1972,Gary Friedrich,Mike Ploog,
73,Heróis da TV,15,1,Chamas do renascer / Londres / A loja de antiguidades / O teste de lealdade,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Clive Reston Fu Manchu Espreitador das Sombras Dr. Petrie Si-Fan Sir Nayland-Smith Black Jack Tarr,Giant-Size Master of Kung Fu,3,1975,Doug Moench,Paul Gulacy,"Na mansão de Sir Denis em Nova York, Shang-Chi conhece Clive Reston, que se revela sobrinho-neto de Sherlock Holmes e filho de James Bond. Os dois novos amigos são então atacados por Fansigars, assassinos orientais que Reston está investigando. Viajando para Londres, a dupla se une a Sir Dennis e Tarr nas investigações."
74,Heróis da TV,15,2,Aliança profana,Motoqueiro Fantasma,"Motoqueiro Fantasma Satã Roxanne Blaze Craig ""Crash"" Simpson Bart Slade",Marvel Spotlight,7,1972,Gary Friedrich,Mike Ploog,
75,Heróis da TV,15,3,A falha de Heimdall,Heimdall,Heimdall Odin Brimer Nedra,Journey Into Mystery,105,1964,Stan Lee,Jack Kirby,"Nota: Roussos assina aqui usando o pseudônimo ""George Bell"
76,Heróis da TV,15,4,Um homem contra um deus,Capitão Marvel,"Capitão Marvel Thanos Isaac Rick Jones Visão II Capitão América Thor Pantera Negra Serpente da Lua Mentor Mantis Drax O Destruidor Morte Homem de Ferro Espadachim
Argumento: Jim Starlin Steve Englehart - ‘John Harkness’ Roteiro: Steve Englehart - ‘John Harkness’ Desenho: Jim Starlin Arte-Final: Klaus Janson Cores: Rita de Carvalho Letrista: Edison Gasparim Editor original: Roy Thomas
Publicada originalmente em  Captain Marvel (1968) n° 33/1974 - Marvel Comics
       
Título original americano: “The god himself!”. Mar-Vell e Thanos se enfrentam.18 Páginas",Captain Marvel,33,1974,Steve Englehart - ‘John Harkness’,Jim Starlin,NA
77,Heróis da TV,16,1,O fim do Deus do Trovão,Thor,Thor Loki Balder Igron Odin Sif,Thor,179,1970,Stan Lee,Jack Kirby,
78,Heróis da TV,16,2,Nas profundezas do inferno,Motoqueiro Fantasma,"Motoqueiro Fantasma Roxanne Blaze Craig ""Crash"" Simpson Satã",Marvel Spotlight,8,1973,Gary Friedrich,Mike Ploog,..The hordes of Hell!
79,Heróis da TV,16,3,A operação Velcro,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Clive Reston Sir Nayland-Smith Dr. Petrie Black Jack Tarr Velcro Punho de Lâmina I,Master of Kung Fu,29,1975,"Doug Moench Arte:  Paul Gulacy Tradutor:  Helcio de Carvalho,  Beatriz Malamud Editor original:  Len Wein
Publicada originalmente em   Master of Kung Fu (1974) n° 29/1975 - Marvel Comics
             
Título original: ""The Crystal Connection""",NA,NA
